name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	18	16	0.0
Azorhizobium	6	genus	5369772	3	0	0.0
Azorhizobium caulinodans	7	species	5369772	8	0	0.0
Buchnera aphidicola	9	species	602805	11	3	0.0
Cellvibrio	10	genus	4576573	6	0	0.0
Cellulomonas gilvus	11	species	3526441	4	0	0.0
Methylophilus	16	genus	0	2	0	0.0
Phenylobacterium	20	genus	4379231	10	0	0.0
Shewanella	22	genus	5140018	13	3	0.0
Shewanella putrefaciens	24	species	4749735	33	5	0.0
Myxococcales	29	order	9638245	101	0	0.0
Myxococcaceae	31	family	9636120	10	0	0.0
Myxococcus	32	genus	9487953	17	0	0.0
Myxococcus xanthus	34	species	9139763	454	73	0.0
Myxococcus macrosporus	35	species	8973512	268	61	0.0
Archangiaceae	39	family	10085598	22	0	0.0
Stigmatella	40	genus	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	5	0	0.0
Cystobacter	42	genus	0	1	0	0.0
Cystobacter fuscus	43	species	12349744	288	181	0.0
Melittangium	44	genus	9910441	1	0	0.0
Archangium	47	genus	0	7	0	0.0
Archangium gephyra	48	species	12489432	324	211	0.0
Polyangiaceae	49	family	13907952	5	0	0.0
Chondromyces crocatus	52	species	11388132	253	174	0.0
Sorangium cellulosum	56	species	13907952	1220	541	0.0
Vitreoscilla	59	genus	0	6	0	0.0
Vitreoscilla filiformis	63	species	3787551	84	51	0.0
Lysobacter	68	genus	0	16	0	0.0
Lysobacter enzymogenes	69	species	12227539	313	177	0.0
Simonsiella	71	genus	2469862	1	0	0.0
Caulobacter	75	genus	4238499	20	0	0.0
Hyphomicrobium	81	genus	3700497	4	0	0.0
Hyphomonas	85	genus	3705021	5	0	0.0
Leptothrix	88	genus	4909403	6	0	0.0
Stella	93	genus	0	4	0	0.0
Stella humosa	94	species	5832650	241	138	0.0
Gallionella	96	genus	3162471	1	0	0.0
Ancylobacter	99	genus	0	5	0	0.0
Cyclobacterium marinum	104	species	6221273	2	0	0.0
Runella	105	genus	0	3	0	0.0
Planctomycetales	112	order	5733343	9	0	0.0
Gemmata	113	genus	0	3	0	0.0
Gemmata obscuriglobus	114	species	17998094	311	184	0.0
Planctomyces	118	genus	0	4	0	0.0
Gimesia maris	122	species	15634937	51	17	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Planctomycetaceae	126	family	5733343	4	0	0.0
Isosphaera pallida	128	species	5529304	2	0	0.0
Methylocystis	133	genus	0	14	0	0.0
Methylocystis parvus	134	species	4529043	59	35	0.0
Spirochaetales	136	order	1876294	10	0	0.0
Spirochaetaceae	137	family	2749897	9	0	0.0
Borrelia	138	genus	1176628	2	0	0.0
Borreliella burgdorferi	139	species	1329613	8	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	1165365	4	0	0.0
Borrelia anserina	143	species	1042690	1	0	0.0
Spirochaeta	146	genus	2772907	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema	157	genus	2490077	18	6	0.0
Treponema denticola	158	species	2843201	2	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	43	2	0.0
Treponema pallidum	160	species	1139017	7	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	27	0	0.0
Treponema phagedenis	162	species	17151030	1267	122	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospiraceae	170	family	5274184	3	0	0.0
Leptospira	171	genus	5319704	15	0	0.0
Leptospira interrogans	173	species	6128534	51	30	0.0
Leptospira borgpetersenii	174	species	4736323	5	1	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	2	0	0.0
Aquaspirillum	187	genus	0	2	0	0.0
Azospirillum	191	genus	7223069	44	1	0.0
Azospirillum brasilense	192	species	50779208	1232	209	0.0
Azospirillum lipoferum	193	species	7223069	21	0	0.0
Campylobacter	194	genus	2403822	13	7	0.0
Campylobacter coli	195	species	1776238	58	14	0.0
Campylobacter fetus	196	species	2065164	32	15	0.0
Campylobacter jejuni	197	species	3124996	86	33	0.0
Campylobacter hyointestinalis	198	species	1755214	48	0	0.0
Campylobacter concisus	199	species	2099413	356	219	0.0
Campylobacter curvus	200	species	1971270	245	0	0.0
Campylobacter lari	201	species	1565468	39	21	0.0
Campylobacter showae	204	species	2160580	6766	6623	0.0263477
Campylobacter sputorum	206	species	1746988	28	10	0.0
Helicobacter	209	genus	1715890	4	0	0.0
Helicobacter pylori	210	species	1700965	99	44	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	36	9	0.0
Helicobacter mustelae	217	species	1578097	21	0	0.0
Achromobacter	222	genus	7359146	57	0	0.0
Alteromonas	226	genus	4609878	1	0	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	15	8	0.0
Brucella	234	genus	4039663	67	45	0.0
Brucella abortus	235	species	3283421	2	0	0.0
Flavobacterium	237	genus	3461015	4	3	0.0
Elizabethkingia meningoseptica	238	species	15625789	92	13	0.0
Chryseobacterium balustinum	246	species	4974086	35	21	0.0
Empedobacter brevis	247	species	7431270	65	17	0.0
Chryseobacterium gleum	250	species	9292597	45	29	0.0
Chryseobacterium indologenes	253	species	35240523	151	21	0.0
Chryseobacterium indoltheticum	254	species	8445673	48	23	0.0
Sphingobacterium thalpophilum	259	species	5962893	34	24	0.0
Francisella	262	genus	3767258	3	0	0.0
Francisella tularensis	263	species	3018743	35	14	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	3	0	0.0
Paracoccus	265	genus	5054656	22	0	0.0
Paracoccus denitrificans	266	species	5236194	128	0	0.0
Thermus	270	genus	2279019	15	0	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	311	81	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Xanthobacter	279	genus	5625098	3	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	0.0
Comamonas	283	genus	5461687	14	0	0.0
Comamonas testosteroni	285	species	5856025	96	43	0.0
Pseudomonas	286	genus	9017316	600	195	0.0
Pseudomonas aeruginosa	287	species	6798896	1063	130	0.0
Pseudoalteromonas atlantica	288	species	5187005	10	1	0.0
Burkholderia cepacia	292	species	13565292	431	60	0.0
Brevundimonas diminuta	293	species	3551819	70	33	0.0
Pseudomonas fluorescens	294	species	6604895	731	192	0.0
Pseudomonas fragi	296	species	10253943	64	17	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	42	29	0.0
Pseudomonas mendocina	300	species	5293211	277	90	0.0
Pseudomonas oleovorans	301	species	4686340	107	20	0.0
Pseudomonas putida	303	species	6160317	728	211	0.0
Ralstonia solanacearum	305	species	5757294	847	197	0.0
Pseudomonas stutzeri	316	species	4548207	601	158	0.0
Pseudomonas syringae	317	species	8747300	122	20	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	17	5	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	51	4	0.0
Ralstonia pickettii	329	species	5505543	135	45	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	28	3	0.0
Burkholderia glumae	337	species	6878727	242	22	0.0
Xanthomonas	338	genus	23419814	108	7	0.0
Xanthomonas campestris	339	species	7099366	67	32	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	59	0	0.0
Xanthomonas translucens	343	species	11701367	31	0	0.0
Xanthomonas citri	346	species	27676482	130	19	0.0
Xanthomonas oryzae	347	species	63225372	174	87	0.0
Azotobacter	352	genus	5311796	9	0	0.0
Azotobacter chroococcum	353	species	5192286	112	34	0.0
Azotobacter vinelandii	354	species	5351632	25	0	0.0
